id,name,anchor_type,sub_type,protection_level,town,lng,lat,cmi_raw_mentions,cmi_direct_degree,cmi_freq_component,cmi_degree_component,cmi,oai,poi_count_500m,avg_rating_500m,review_total_500m,thi,mi,mi_category,entity_hit_sample,poi_hit_sample
ANC_0154,大岸圩,圩市街区,,,西樵镇,112.966017,22.985038,6.0,3,30.25,22.26,27.06,0.0,2,0.0,0.0,7.09,-6.43,一般耦合区,大岸,十一队文化楼|九队文化楼
ANC_0135,平沙岛,文化景观,,,西樵镇,112.883901,22.931463,6.0,3,30.25,22.26,27.06,0.0,2,0.0,0.0,7.09,-6.43,一般耦合区,平沙,祠公李先智|西樵平沙岛-廷俊李公祠
ANC_0061,沙水翰林步头,不可移动文物,古建筑,市级文物保护单位,丹灶镇,112.928208,23.057435,0.0,0,0.0,0.0,0.0,50.0,17,0.0,0.0,18.66,-6.34,一般耦合区,,翰林湖农业公园-小卖部|翰林花海|翰林湖农业公园P2停车场(出口)|翰林湖农业公园P2生态停车场(入口)|翰林湖农业公园P1停车场
NH_0067,大头佛（民乐大头佛）,非遗项目,传统舞蹈,区级非物质文化遗产代表性项目,西樵镇,112.915169,22.91585,40.0,32,57.73,56.15,57.1,25.0,2,3.85,2.0,34.83,-6.22,一般耦合区,大头佛|民乐,陈李济李昇佐纪念馆|才盛余公祠
ANC_0063,贞烈牌坊,不可移动文物,古建筑,市级文物保护单位,丹灶镇,112.883872,23.04674,4.0,6,25.02,31.25,27.51,50.0,3,3.9,1.0,32.71,-6.05,一般耦合区,牌坊,康有为书法艺术院|烧番塔广场|仙岗村名人馆
NH_0054,松塘村孔子诞,非遗项目,民俗,区级非物质文化遗产代表性项目,西樵镇,112.945571,22.966162,63.0,56,64.65,64.93,64.76,25.0,10,4.0,1.0,39.67,-5.21,一般耦合区,孔子|松塘|松塘村,民乐和平村文化楼|北塱文化楼|聚贤堂第六训练基地(关西一街)|纳智文化艺术中心|三队文化楼
ANC_0071,慈悲宫牌坊,不可移动文物,古建筑,省级文物保护单位,九江镇,113.003815,22.845895,6.0,7,30.25,33.4,31.51,75.0,39,4.1,1.0,48.43,-4.82,一般耦合区,慈悲宫|牌坊,探花公园|新东方文化辅导园|蓝图文化中心|方太(九江国美信基广场店)|威力斯健身(信基广场店)
ANC_0161,河清圩,圩市街区,,,九江镇,112.942874,22.849496,3.0,1,21.55,11.13,17.38,0.0,1,0.0,0.0,4.48,-4.22,一般耦合区,河清,河清三村文化楼
ANC_0131,河清码头,文化景观,,,九江镇,112.94,22.85,3.0,1,21.55,11.13,17.38,0.0,1,0.0,0.0,4.48,-4.22,一般耦合区,河清,大观发濑粉鸡
ANC_0011,四峰书院遗址,不可移动文物,古遗址,省级文物保护单位,西樵镇,112.973856,22.91818,19.0,17,46.57,46.42,46.51,75.0,19,3.7,7.0,56.58,-4.18,一般耦合区,书院|四峰书院,西樵山桃花源农家乐|四峰书院遗址|大科书院|九龙岩磨崖石刻|寺边分场
