record_id,source_file,source_type,resource_class,sub_class,level,name,era,address,town,target_geometry,lng,lat,spatial_method,spatial_confidence,matched_existing_anchor,matched_poi,dedup_status,dedup_match,centroid_town
IH_0177,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,大第周公祠,清代,广东省佛山市南海区大沥镇太平社区居委会冲表村北大街八巷1号侧,大沥镇,point,113.099306,23.111276,poi_name_exact,0.94,,大第周公祠,matched_poi_only,大第周公祠,大沥镇
IH_0178,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,白界许氏宗祠,清代,广东省佛山市南海区大沥镇太平社区居委会白界村东街迎阳巷1号侧,大沥镇,point,113.071269,23.126967,poi_name_fuzzy,0.84,,许氏宗祠,new_candidate,,狮山镇
IH_0179,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,西村许氏大宗祠,清代,广东省佛山市南海区大沥镇太平社区居委会西村村北队北街八巷1号侧,大沥镇,point,113.095484,23.099346,poi_name_fuzzy,0.84,,许氏大宗祠,new_candidate,,大沥镇
IH_0180,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,西村李氏大宗祠,清代,广东省佛山市南海区大沥镇太平社区居委会西村村西街西八巷1号,大沥镇,point,113.015703,23.041153,poi_name_fuzzy,0.84,,李氏大宗祠,new_candidate,,狮山镇
IH_0181,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,竹窓许公祠,"明代,清代",广东省佛山市南海区大沥镇太平社区居委会北海村村前街1号侧,大沥镇,point,113.09702,23.109516,poi_name_exact,0.94,,竹窓许公祠,matched_poi_only,竹窓许公祠,大沥镇
IH_0182,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,奕世朝议大夫黎公祠,清代,广东省佛山市南海区大沥镇雅瑶社区居委会奕世村九巷侧,大沥镇,point,113.143481,23.130912,poi_name_fuzzy,0.84,,朝议大夫黎公祠,new_candidate,,大沥镇
IH_0183,不可移动文物Excel.xls,不可移动文物,古建筑,桥涵码头,尚未核定公布为文物保护单位的不可移动文物,碧华水步,清代,广东省佛山市南海区大沥镇东秀社区居委会碧华村张王爷坊47号前,大沥镇,point,113.145463,23.118352,town_representative_point,0.38,,,new_candidate,,大沥镇
IH_0184,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,市级和县级文物保护单位,黄岐梁氏大宗祠,清代,广东省佛山市南海区大沥镇黄岐社区居委会岐南村岐西大街65号侧,大沥镇,point,113.131515,23.153857,poi_name_exact,0.94,,梁氏大宗祠,matched_poi_only,梁氏大宗祠,里水镇
IH_0185,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,医疗卫生建筑,尚未核定公布为文物保护单位的不可移动文物,岐阳共济善堂,近现代,广东省佛山市南海区大沥镇岐城社区岐阳二路1号,大沥镇,point,113.145463,23.118352,town_representative_point,0.38,,,new_candidate,,大沥镇
IH_0186,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,其他近现代代表性建筑,尚未核定公布为文物保护单位的不可移动文物,李潘生产队旧址,近现代,广东省佛山市南海区大沥镇沥中社区居委会李潘村大巷1号侧,大沥镇,point,113.114715,23.12061,poi_name_exact,0.94,,李潘生产队旧址,matched_poi_only,李潘生产队旧址,大沥镇
IH_0187,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,李潘李氏大宗祠,清代,广东省佛山市南海区大沥镇沥中社区居委会李潘村大巷1号,大沥镇,point,113.015703,23.041153,poi_name_fuzzy,0.84,,李氏大宗祠,new_candidate,,狮山镇
IH_0188,不可移动文物Excel.xls,不可移动文物,古建筑,池塘井泉,尚未核定公布为文物保护单位的不可移动文物,隔岗水井,明代,广东省佛山市南海区大沥镇沥西社区居委会隔岗村大街南13巷1号北侧,大沥镇,point,113.145463,23.118352,town_representative_point,0.38,,,new_candidate,,大沥镇
IH_0189,不可移动文物Excel.xls,不可移动文物,古建筑,驿站会馆（及其他交通道路设施、旅行服务设施）,尚未核定公布为文物保护单位的不可移动文物,龙湾古道,清代,广东省佛山市南海区大沥镇沥北社区居委会龙湾村南四巷巷前,大沥镇,point,113.114446,23.129255,poi_name_exact,0.94,,龙湾古道,matched_poi_only,龙湾古道,大沥镇
